code,category,definition,example_quote,phase_or_task,count,coder1_perspective,coder2_perspective,boundary_criteria,workaround_strategy
API Discoverability,API Design & Structure,Difficulty finding the right functions or entry points in the Differential Privacy library API.,"""I'm looking for a count function. I'll check diffprivlib.tools... I don't see count or count_nonzero in the main tools list.""",Task A,130,Evaluates whether missing entry points cause developers to miss built-in DP mechanisms.,Documents time spent searching diffprivlib.tools or opendp namespaces for basic entry functions.,Coded when developer cannot locate an entry point vs APIMisuse (where function is found but called incorrectly).,Mechanism fallback
API Inconsistency,API Design & Structure,Similar operations behave differently across functions or libraries.,"""The results differ between libraries even with the same epsilon and bounds! This is concerning.""",Cross-Library Comparison,88,Notes discrepancies in noise scale or output distributions across libraries for identical parameters.,Focuses on inconsistent parameter naming across functions and libraries.,Coded for cross-library behavioral mismatches vs MentalModelMismatch (intra-library expectation gap).,Trial-and-error coercion
API Misuse,API Design & Structure,Incorrect or unsupported API usage.,"""Error: TypeError: count_nonzero() got an unexpected keyword argument 'epsilon'.""",Task A,108,Flags incorrect parameter values or unsupported argument combinations that invalidate DP semantics.,Captures explicit runtime exceptions like TypeError: count_nonzero() got an unexpected keyword argument 'epsilon'.,Coded when API invocation raises an error or fails due to invalid parameters vs PrivacyViolationRisk.,Mechanism fallback
Nested Module Structure,API Design & Structure,Confusing nested modules or namespaces.,"""It took me a while to realize that the Laplace mechanism is buried three modules deep under opendp.measurements.laplace.""",API Setup,22,Evaluates deep module hierarchy overhead (opendp.measurements.laplace).,Tracks navigation friction across deeply nested submodules.,Coded for namespace depth confusion vs API Discoverability.,N/A
GroupBy Missing,API Design & Structure,Lack of native grouped aggregation support analogous to DataFrame groupby.,"""Searching the documentation for groupby... I'm not finding anything... How can a data privacy library not support it?""",Task B,80,Analyzes lack of parallel composition support over categorical subsets.,Tracks developer surprise at missing .groupby() in DP libraries.,Coded for absence of native groupby helper vs Manual Implementation (writing the manual loop).,Manual re-implementation
GroupBy Support,API Design & Structure,Presence of native grouped aggregation that works in a DP-safe way.,"""It was incredibly easy to use their native DP-groupby function to get the averages across all education levels at once.""",Task B,42,Verifies that library-provided groupby correctly enforces parallel composition.,Documents positive developer feedback on native grouped aggregations.,Coded for successful native DP groupby usage vs Polars Integration.,N/A
Polars Integration,API Design & Structure,Availability and use of Polars/DataFrame-native integrations.,"""I love that I can just add.dp.sum() directly into my existing Polars lazy pipeline.""",Data Pipeline Integration,10,Verifies lazy execution graph privacy tracking in OpenDP Polars context.,Measures reduced cognitive load when using familiar Polars syntax.,Coded for Polars/Context dataframe integration vs core OpenDP pipeline syntax.,N/A
Clarity Of Documentation,Documentation Quality,How clear and understandable the documentation text and explanations are.,"""The documentation says this is because some features haven't been fully vetted for privacy guarantees. This is actually reassuring...""",API Setup,52,Assesses accuracy of mathematical explanations in documentation.,Evaluates readability and clarity of official documentation text.,Coded for text clarity comments vs Missing Documentation.,N/A
Documentation Search,Documentation Quality,Effort required to locate relevant documentation sections or pages.,"""I spent twenty minutes searching the documentation just to figure out how to pass a custom sensitivity value.""",Parameter Configuration,36,Checks if documentation guides sensitivity calculation.,Measures duration and query count spent searching documentation site.,Coded for effort spent locating docs vs Documentation Structure.,Trial-and-error coercion
Documentation Structure,Documentation Quality,How well the documentation is organized and how easy it is to navigate it.,"""The OpenDP documentation leads with the core API... A practitioner might give up before finding the Polars integration.""",General,44,Notes missing mathematical indexing or API reference organization.,Documents navigation barriers between tutorials and API reference.,Coded for overall documentation layout vs Documentation Search.,N/A
End-To-End Examples,Documentation Quality,"Availability of complete, runnable examples showing end-to-end Differential Privacy workflows.","""The snippets are okay, but I really need a full end-to-end example showing how to load a CSV, apply DP, and export the results.""",General Onboarding,28,Evaluates whether examples cover full workflow (loading CSV -> clipping -> DP query -> export).,Captures developer requests for runnable full script examples.,Coded for request/praise of full pipeline examples vs Example Code Gap.,External-tool delegation
Example Code Gap,Documentation Quality,"Missing, incomplete, or misaligned example code for common tasks.","""The example code only shows how to use this with synthetic arrays, not real-world Pandas dataframes.""",General Onboarding,40,Notes examples using synthetic arrays rather than realistic bounded dataframes.,Captures frustration when example code fails on real pandas datasets.,Coded for inadequate/misaligned snippet examples vs Missing Documentation.,Mechanism fallback
Missing Documentation,Documentation Quality,"Important behaviors, parameters, or concepts are undocumented.","""Wait, there are only 12 rows. But there are 16 unique education levels... Looking at the documentation... I see something about Stable Keys.""",Task B,66,"Identifies undocumented privacy parameters, stable keys, or composition rules.",Documents instances where key API behaviors are missing from official docs.,Coded when specific behavior is completely absent from docs vs Clarity Of Documentation.,Trial-and-error coercion
Abstract Concepts,Learning Curve & Knowledge,Use of highly abstract theoretical concepts that are hard to map to practice.,"""I understand the basic idea of adding noise to protect individual privacy... but I haven't actually implemented anything with these specific libraries yet.""",Session Introduction,44,"Examines difficulty translating mathematical DP definitions (eps-DP, Laplace) to code.",Tracks cognitive resistance to abstract mathematical concepts.,Coded for theoretical abstraction barriers vs LackOfKnowledge.,N/A
Functional Programming Style,Learning Curve & Knowledge,Functional / pipeline programming style that is unfamiliar or hard to adopt.,"""The chaining syntax (>>) is unusual for Python.""",API Setup,20,Evaluates transformation chaining (>>) in OpenDP pipelines.,Captures friction for Python developers unaccustomed to functional chaining.,Coded for syntax style friction vs Learning Curve Too Steep.,External-tool delegation
LackOfKnowledge,Learning Curve & Knowledge,Developers have limited prior experience with Differential Privacy concepts or tools.,"""I should mention that I've never worked with differential privacy before.""",Session Introduction,32,Assesses prior DP background of participants.,Notes self-disclosed developer unfamiliarity with differential privacy.,Coded for general self-declared novice background vs specific conceptual gaps.,Parameter guessing
Learning Curve Too Steep,Learning Curve & Knowledge,Overall difficulty of getting from zero to productive use.,"""I feel like I've learned enough to be dangerous, but not enough to be safe.""",Session wrap-up,88,Evaluates time-to-first-correct-query across libraries.,Captures overall sentiment on onboarding difficulty ('learned enough to be dangerous').,Coded for global onboarding difficulty sentiment vs specific error/API friction.,Library Switch
Terminology Confusion,Learning Curve & Knowledge,Confusion caused by unfamiliar or overloaded technical terms.,"""The API uses the term 'space_of', which means nothing to me as a standard Python developer.""",API Setup,30,"Tracks confusion over terms like space_of, AtomDomain, SymmetricDistance.",Documents developer struggle with non-standard Python terminology.,Coded for specific keyword/term confusion vs Abstract Concepts.,Trial-and-error coercion
Privacy Concern,Privacy Concepts & Parameters,Developer concern about violating privacy or misusing Differential Privacy guarantees.,"""If I get these wrong, the privacy guarantees could be compromised.""",Bounds Configuration,36,Validates legitimate developer worry regarding privacy guarantee breakdown.,Captures verbalized anxiety about accidentally leaking sensitive data.,Coded for developer concern/awareness vs Privacy Violation Risk.,Parameter guessing
Privacy Parameter Configuration,Privacy Concepts & Parameters,Challenges choosing concrete values for epsilon/delta.,"""With 16 education levels in the Adult dataset, my epsilon per group becomes 1.0/16 = 0.0625, which adds a LOT of noise.""",Task B,54,Audits mathematical implications of chosen eps/delta values.,Documents friction choosing concrete numeric values for privacy budget.,Coded for active parameter selection struggle vs Privacy Parameter Guidance.,Parameter guessing
Privacy Parameter Guidance,Privacy Concepts & Parameters,Lack of guidance on how to set or interpret privacy parameters.,"""None of the libraries provide good guidance on choosing epsilon or managing the privacy budget across multiple queries.""",Overall Assessment,58,Notes absence of budget selection tools or utility-privacy curves.,Documents developer requests for recommended epsilon guidelines in docs.,Coded for lack of library guidance on parameter choices vs Privacy Parameter Configuration.,Parameter guessing
Privacy Violation Risk,Privacy Concepts & Parameters,Risk of accidentally violating Differential Privacy guarantees due to library design or usage.,"""Warning: PrivacyLeakWarning: Range parameter has not been specified... falling back to data range.""",Task A,30,Identifies code that violates DP guarantees (e.g. data-dependent clipping without budget).,Flags silent warnings (PrivacyLeakWarning) ignored by developers.,Coded when code pattern silently compromises privacy guarantees vs Privacy Concern.,External-tool delegation
Sensitivity Knowledge,Privacy Concepts & Parameters,Understanding of global sensitivity and how it influences Differential Privacy configuration.,"""The sensitivity of a count query should just be 1, right? One person can only change the count by 1.""",Task A,32,Checks developer understanding of global sensitivity Delta f for count vs mean.,Captures verbalized reasoning about individual contribution bounds.,Coded for reasoning about sensitivity vs Sensitivity Calculation.,Mechanism fallback
Bounds Configuration,Bounds & Sensitivity,Work required to specify numeric bounds correctly for Differential Privacy mechanisms.,"""I'm getting an error about bounds. The documentation mentions I need to specify bounds for the data.""",Task A,82,Audits validity of lower and upper bound specifications.,Measures effort required to pass bounds arguments to mechanisms.,Coded for general requirement/friction of setting bounds vs Bounds Selection Dilemma.,Parameter guessing
Bounds Selection Dilemma,Bounds & Sensitivity,"The three-case bounds problem ((§4.1.2)): selecting bounds from public knowledge, internal inspection, or data-dependent release.","""I had to guess the age bounds (17--90)... The library doesn't help me determine appropriate bounds from the data in a privacy-preserving way.""",Task B,74,Analyzes slip from public domain bounds into data-dependent inspection (case 1 vs case 3).,"Captures catch-22 sentiment ('need bounds to run query, but can't see data').",Coded specifically for the 3-case dilemma (Catch-22) of deriving bounds.,External-tool delegation
Bounds Tradeoff,Bounds & Sensitivity,"Tension between tight bounds (utility) and safe, conservative bounds (privacy).","""If I set the income upper bound to 100k, I lose the high earners, but if I set it to 1 million, the noise destroys the mean.""",Bounds Configuration,26,Analyzes tension between tight bounds (higher utility) and wide bounds (higher privacy/clipping).,Captures developer statements balancing outlier clipping vs noise magnitude.,Coded for utility vs privacy trade-off reasoning vs Bounds Configuration.,Parameter guessing
Sensitivity Calculation,Bounds & Sensitivity,Difficulties computing or reasoning about sensitivity formulas.,"""I'm now worried whether my manual sensitivity=1 specification is actually correct for all edge cases.""",Task A,30,Verifies correctness of manual sensitivity formulas Delta f = (b-a)/n.,Notes developer uncertainty when computing sensitivity values manually.,Coded for math/formula calculation issues vs Sensitivity Knowledge.,Mechanism fallback
